name,country,latitude,longitude,Street Adress,price_level,rating,user_ratings_total,province,state
McDonald's,US,37.346447,-85.33736800000001,"605 E Broadway St, Campbellsville, KY 42718",1.0,3.8,364.0, Campbellsville,KY
SUBWAY,US,37.357213,-85.323654,"1602 E Broadway St, Campbellsville, KY 42718",1.0,4.2,157.0, Campbellsville,KY
Burger King,US,38.259527,-122.062146,"1475 Holiday Ln, Fairfield, CA 94534",1.0,4.4,120.0, Fairfield,CA
Dairy Queen,US,38.3887,-82.7156,"12759 Us Route 60, Ashland, KY 41102",1.0,4.2,513.0, Ashland,KY
Pizza Hut,US,27.4357,-80.32600000000002,"1439 S US Highway 1, Fort Pierce, FL 34950",2.0,4.3,774.0, Fort Pierce,FL
McDonald's,US,27.06168,-80.13746,"11671 Se Federal Hwy, Hobe Sound, FL 33455",1.0,3.7,713.0, Hobe Sound,FL
Culver's,US,30.403772,-86.85506,"8792 Navarre Pkwy, Navarre, FL 32566",1.0,4.3,2898.0, Navarre,FL
Burger King,US,25.867613,-80.266376,"825 E 49th St, Hialeah, FL 33013",1.0,3.9,2383.0, Hialeah,FL
Dairy Queen,US,28.125757,-81.64043000000002,"36172 Hwy 27, Haines City, FL 33844",1.0,4.0,508.0, Haines City,FL
Pizza Hut,US,29.96174,-81.49109,"52 Tuscan Way Ste 208, Saint Augustine, FL 32092",2.0,3.5,148.0, Saint Augustine,FL
KFC,US,28.8829,-81.2413,"1232 Providence Blvd, Deltona, FL 32725",1.0,2.9,724.0, Deltona,FL
McDonald's,US,30.68782,-86.12318,"2370 US Highway 331 S, DeFuniak Springs, FL 32435",1.0,3.4,3008.0, DeFuniak Springs,FL
Sonic Drive-In,US,30.70032,-86.12317,"1508 US Highway 331 S, DeFuniak Springs, FL 32435",1.0,3.8,1229.0, DeFuniak Springs,FL
Whataburger,US,30.68693,-86.12329,"2434 US Highway 331 S, DeFuniak Springs, FL 32435",1.0,4.0,3470.0, DeFuniak Springs,FL
Arby's,US,26.432003,-81.789408,"9975 Corkscrew Rd, Estero, FL 33928",1.0,3.9,663.0, Estero,FL
Chick-fil-A,US,27.928097,-82.324836,"519 Brandon Town Center Mall, Brandon, FL 33511",1.0,4.1,138.0, Brandon,FL
Taco Bell,US,26.67511,-80.67,"865 S Main St, Belle Glade, FL 33430",1.0,3.5,318.0, Belle Glade,FL
McDonald's,US,27.596742,-81.494029,"339 US Highway 27 S, Avon Park, FL 33825",2.0,4.5,327.0, Avon Park,FL
Pizza Hut,US,27.56904,-81.81521,"1498 US Highway 17 N, Wauchula, FL 33873",1.0,3.6,369.0, Wauchula,FL
Burger King,US,32.135603,-81.20824300000002,"460 Airways Ave, Savannah, GA 31408",1.0,2.8,30.0, Savannah,GA
Sonic Drive-In,US,37.08012,-97.03938,"1510 N Summit St, Arkansas City, KS 67005",1.0,4.1,596.0, Arkansas City,KS
McDonald's,US,37.77885,-100.01663,"2613 Central Ave, Dodge City, KS 67801",1.0,3.7,784.0, Dodge City,KS
Burger King,US,41.704627,-93.580975,"2501 Se Delaware Ave, Ankeny, IA 50021",1.0,4.0,1141.0, Ankeny,IA
Chick-fil-A,US,42.02045,-93.60967,"230 S Duff Ave, Ames, IA 50010",1.0,4.5,1701.0, Ames,IA
Burger King,US,42.03511,-93.57344,"2817 E 13th St, Ames, IA 50010",1.0,4.1,194.0, Ames,IA
Burger King,US,41.732374,-93.582329,"1020 E 1st St, Ankeny, IA 50021",1.0,4.2,682.0, Ankeny,IA
Pizza Hut,US,43.580339,-116.213106,"2450 S Vista Ave, Boise, ID 83705",2.0,4.5,534.0, Boise,ID
Burger King,US,36.09503,-79.408,"1807 N Church St, Burlington, NC 27217",1.0,3.4,588.0, Burlington,NC
Dairy Queen,US,41.548648,-90.504798,"2535 18th St, Bettendorf, IA 52722",2.0,4.3,436.0, Bettendorf,IA
McDonald's,US,35.16361,-80.96889,"9320 Steele Creek Rd, Charlotte, NC 28273",1.0,3.5,1537.0, Charlotte,NC
Burger King,US,34.425812,-117.378018,"9640 Mariposa Rd, Hesperia, CA 92344",1.0,4.1,1639.0, Hesperia,CA
Burger King,US,34.419638,-117.291579,"17021 Main St, Hesperia, CA 92345",1.0,3.7,798.0, Hesperia,CA
Del Taco,US,33.899881,-118.361657,"14485 Inglewood Ave, Hawthorne, CA 90250",1.0,3.6,579.0, Hawthorne,CA
Del Taco,US,34.264517,-118.526782,"18070 Chatsworth St, Granada Hills, CA 91344",2.0,4.3,329.0, Granada Hills,CA
Arby's,US,39.158375,-75.550267,"1200 Forrest Ave, Dover, DE 19904",1.0,4.2,839.0, Dover,DE
McDonald's,US,34.685340000000004,-82.19726999999997,"300 Mccarter Rd, Fountain Inn, SC 29644",1.0,3.5,1336.0, Fountain Inn,SC
Burger King,US,40.33873,-76.447826,"2040 Cumberland St, Lebanon, PA 17042",1.0,3.7,567.0, Lebanon,PA
Chipotle Mexican Grill,US,40.31787,-76.42396,"1451 Quentin Rd, Lebanon, PA 17042",1.0,3.3,679.0, Lebanon,PA
Taco Bell,US,39.81718,-75.45715,"609 Naamans Rd, Claymont, DE 19703",1.0,2.6,451.0, Claymont,DE
Pizza Hut,US,33.30628,-111.94409,"5800 W Chandler Blvd, Chandler, AZ 85226",2.0,4.5,1815.0, Chandler,AZ
McDonald's,US,44.49541,-89.51668000000002,"1205 Commons Cir, Plover, WI 54467",1.0,3.6,899.0, Plover,WI
Arby's,US,39.697205,-104.824323,"1099 S Blackhawk St, Aurora, CO 80012",1.0,3.9,1350.0, Aurora,CO
Arby's,US,36.594351,-87.287425,"3067 Wilma Rudolph Blvd, Clarksville, TN 37040",1.0,4.3,1491.0, Clarksville,TN
Dairy Queen,US,40.90199000000001,-81.12966,"1635 W State St, Alliance, OH 44601",1.0,4.2,622.0, Alliance,OH
Burger King,US,34.623419,-92.499052,"3001 N Reynolds Rd, Bryant, AR 72022",1.0,3.9,689.0, Bryant,AR
Burger King,US,35.192109,-111.624197,"2275 E Butler Ave, Flagstaff, AZ 86004",2.0,4.4,2489.0, Flagstaff,AZ
Arby's,US,44.31095,-96.77414,"1818 6th St, Brookings, SD 57006",1.0,4.2,426.0, Brookings,SD
KFC,US,33.41508,-111.57884,"3051 W Apache Trl, Apache Junction, AZ 85120",1.0,3.9,930.0, Apache Junction,AZ
Burger King,US,37.28415,-81.25128000000002,"Route 52 Airport Square, Bluefield, WV 24701",1.0,3.9,489.0, Bluefield,WV
Bob Evans Restaurant,US,37.793559,-81.217557,"102 Harper Park Dr, Beckley, WV 25801",1.0,3.9,852.0, Beckley,WV
Pizza Hut,US,37.790326,-81.21054699999998,"1912 Harper Rd, Beckley, WV 25801",1.0,4.2,314.0, Beckley,WV
Burger King,US,38.997749,-80.233242,"3 Clarksburg Rd, Buckhannon, WV 26201",1.0,4.0,383.0, Buckhannon,WV
Arby's,US,44.51606,-109.08971,"302 Yellowstone Ave, Cody, WY 82414",1.0,4.1,409.0, Cody,WY
Burger King,US,44.51459000000001,-109.05084,"1902 Mountain View Dr, Cody, WY 82414",1.0,3.1,458.0, Cody,WY
Pizza Hut,US,41.16767,-104.828636,"5320 Yellowstone Rd, Cheyenne, WY 82009",1.0,4.0,678.0, Cheyenne,WY
Arby's,US,35.04561,-89.6942,"967 W Poplar Ave, Collierville, TN 38017",1.0,4.2,471.0, Collierville,TN
Arby's,US,42.82804,-106.354802,"2607 Cy Ave, Casper, WY 82604",1.0,3.9,419.0, Casper,WY
Arby's,US,35.175914,-89.792333,"1860 N Germantown Pkwy, Cordova, TN 38016",1.0,4.1,644.0, Cordova,TN
SUBWAY,US,45.53751,-100.43688,"310 W Grand Xing, Mobridge, SD 57601",1.0,4.2,84.0, Mobridge,SD
Arby's,US,41.303027,-84.36127900000002,"1502 N Clinton St, Defiance, OH 43512",1.0,3.9,864.0, Defiance,OH
Pizza Hut,US,41.301426,-84.36081800000002,"1133 N Clinton St, Defiance, OH 43512",1.0,3.6,541.0, Defiance,OH
Pizza Hut,US,39.783394,-84.006478,"11 W Dayton Yellow Springs Rd, Fairborn, OH 45324",1.0,3.8,72.0, Fairborn,OH
Arby's,US,45.459587,-98.469823,"1205 6th Ave Se, Aberdeen, SD 57401",1.0,3.9,613.0, Aberdeen,SD
McDonald's,US,36.524041,-82.31270699999997,"2260 Highway 394, Blountville, TN 37617",1.0,3.5,1217.0, Blountville,TN
McDonald's,US,36.534114,-82.39005300000002,"214 Carolina Pottery Dr, Blountville, TN 37617",1.0,3.4,1251.0, Blountville,TN
Arby's,US,36.541865,-82.33235,"1313 Highway 394, Blountville, TN 37617",1.0,4.2,994.0, Blountville,TN
Burger King,US,37.568606,-84.31104599999998,"100 Prince Royal Dr, Berea, KY 40403",1.0,3.5,128.0, Berea,KY
Dairy Queen,US,40.62539,-80.59109000000002,"900 W 8th St, East Liverpool, OH 43920",1.0,3.7,660.0, East Liverpool,OH
Burger King,US,39.58426871,-82.95390414,"23777 Us Route 23, Circleville, OH 43113",1.0,3.4,713.0, Circleville,OH
Burger King,US,41.580901,-81.21016800000002,"414 Water St, Chardon, OH 44024",1.0,3.9,481.0, Chardon,OH
Burger King,US,40.331939,-83.761451,"2005 S Main St, Bellefontaine, OH 43311",1.0,3.7,325.0, Bellefontaine,OH
Burger King,US,41.29553,-81.67674,"2000 E Edgerton Rd, Broadview Heights, OH 44147",1.0,2.3,59.0, Broadview Heights,OH
Burger King,US,41.293022,-81.68467,"10037 Broadview Rd, Broadview Heights, OH 44147",1.0,2.3,59.0, Broadview Heights,OH
Culver's,US,42.627712,-88.621712,"1931 E Geneva St, Delavan, WI 53115",1.0,3.1,783.0, Delavan,WI
Burger King,US,37.16537,-80.422283,"2680 Market St, Christiansburg, VA 24073",1.0,3.9,763.0, Christiansburg,VA
