,Unnamed: 0,address,categories,city,country,latitude,longitude,name,postalCode,province,websites
8620,8620,1308 Molalla Ave,Fast Food Restaurant,Oregon City,US,45.3358,-122.5908,KFC,97045,OR,"http://kfc.com,http://www.kfc.com"
8630,8630,865 Rostraver Rd,Fast Food Restaurant,Belle Vernon,US,40.1382,-79.84298000000001,KFC,15012,PA,http://www.kfc.com
8644,8644,1505 N DuPont Hwy,Fast Food Restaurants,New Castle,US,39.691005,-75.581193,Popeyes,19720,DE,"http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuGnmwGnHDpEGYXGjnN4u8zXqkiimSHFf4_dbqGRbVgNJHbB5EM5Hc7d--QYpKtxaraRZd8iSx7cn32nt-_VmBVzIUEz0llhB4KSyoO0JKg3I-Z4DYB9GafSV3KIB8bbA-wOTig14J9uoA5mj6iKnN3-0OZrqSZoouqEjxLo4MuIwMtpaf9nh3GdiiLQreBis-y1a9oWYUtnZj85tQ5-7ZiWoJowYpKUgDNVATCw9ThVJZk0kz7fu1ZoiIYe2NwR4FYO2GJascB41SEpdblHMAVRt3HllzQ4tDEnkwb1lJebfURouEd0Lql1C4CFvg4SruOW8rdL4UUriTfB8l_QZhN-uQhpKFLmed5rjPe9mYtsKKW5V3zEPvgol-HaNjhqjSdZXRmESX9s-&placement=listing_profile&cs_user=unknown&cs_session=48e08fcb08dd01685f233f14bbcc461b505dd0f6,http://popeyes.com"
8655,8655,2930 Carnegie Ave,Fast Food Restaurant,Cleveland,US,41.499866,-81.66741,KFC,44115,OH,http://www.kfc.com
8663,8663,3010 Route 50,Fast Food Restaurant,Saratoga Springs,US,43.09943179,-73.74909639,KFC,12866,NY,http://kfc.com
8669,8669,400 N Center St,Fast Food Restaurant,Westminster,US,39.57594,-76.98248000000001,KFC,21157,MD,http://www.kfc.com
8670,8670,340 Eisenhower Dr,Fast Food Restaurants,Hanover,US,39.82498,-76.9849,Chick-fil-A,17331,PA,"http://www.chick-fil-a.com/hanover,http://www.chick-fil-a.com"
8671,8671,130 Baltimore Pike,Fast Food Restaurants,Bel Air,US,39.5326,-76.34899999999999,KFC,21014,MD,http://www.kfc.com
8687,8687,Hw 22,Fast Food Restaurant,Mandeville,US,30.395354100000002,-90.09143099,Raising Cane's,70471,LA,http://raisingcanes.com
8736,8736,1350 E Park Ave,Fast Food Restaurants,Tallahassee,US,30.441909999999996,-84.26003,Bojangles,32301,FL,"http://locations.bojangles.com/fl/tallahassee/1350-park-ave-.html,https://locations.bojangles.com/fl/tallahassee/1350-park-ave.html"
8751,8751,2550 Hilliard Rome Rd,"Fried Chicken Joint, American Restaurant, and Fast Food Restaurant",Hilliard,US,40.003375,-83.153166,Raising Cane's,43026,OH,http://raisingcanesohio.com
8756,8756,1671 E Dublin Granville Rd,Fast Food Restaurant,Columbus,US,40.08636,-82.97355999999999,KFC,43229,OH,"http://kfc.com,http://www.kfc.com"
8757,8757,1130 Malabar Rd SE,Fast Food Restaurant,Palm Bay,US,27.9981,-80.6371,Chick-fil-A,32907,FL,"http://www.chick-fil-a.com/malabarroad,http://chick-fil-a.com/parksidetowncommons"
8783,8783,7565 Mountain Grove Dr,Fast Food Restaurant,Knoxville,US,35.90664,-83.83806,Chick-fil-A,37920,TN,"http://www.chick-fil-a.com/chapmanhighway,http://chick-fil-a.com/chapmanhighway,http://www.chick-fil-a.com"
8805,8805,7501 Mineral Point Rd,Fast Food Restaurant,Madison,US,43.06018395,-89.51304820000001,KFC,53717,WI,"http://kfc.com,http://www.kfc.com"
8900,8900,839 Delaware Ave,Fast Food Restaurant,Marysville,US,40.236,-83.3545,KFC,43040,OH,"http://www.kfc.com/,http://kfc.com,http://www.kfc.com"
8904,8904,1262 Vocke Rd Ste 284,Fast Food Restaurant,Cumberland,US,39.63143,-78.83501,Chick-fil-A,21502,MD,"http://www.chick-fil-a.com/countryclubmall,http://www.chick-fil-a.com"
8924,8924,2995 Cook Rd,Fast Food Restaurant and Mexican Restaurant,West Branch,US,44.24883,-84.22464000000001,KFC,48661,MI,"http://www.kfc.com,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuGnmwGnHDpEGYXGjnN4u8zXqkiimSHFf4_dbqGRbVgNJmoCxUR1noO2jYNtlLpwEes_gtdZ7wXiHM-wx3dI_zRGRjvou1jYlY0gWgRoJxu-VoxNYiz3Kf42d4Ay6T34N4pviUmu_hfHYIRxdZZnjkHNmCmX-gs3AZQFEF0m08CxV1yqQ5-D5mbUNVhYBUd255IKxiuP-riCLHD6JnSWvqvfeUMEm5DUiU5rfZ1ncfVzHXcRQeLY76rG3DH2Zm4FCWNJsOFL1ys6lU6y8iu6o73Ytb6Ir2KCXynojn7y8bP8RPdb6TNTkNUqBZ-pyneLVv98Ado8U7ZANBJyCS3mHCKhmjCGJE-QZdhmamruzVA6ODYPR5os-N2Cm8fBCWvgRf7JSJBUwY6TN&placement=listing_profile&cs_user=unknown&cs_session=980f5e4211624fd9cf60e92bad1ad0c43ec55cab"
8928,8928,Highway 5 Market Square Shopping Ctr. Market Square Shopping Ctr.,Fast Food Restaurant,Douglasville,US,33.72216838,-84.76326602,KFC,30135,GA,http://www.kfc.com
8942,8942,8200 Hamilton Ave,Fast Food Restaurant,Cincinnati,US,39.242,-84.5454,KFC,45231,OH,http://www.kfc.com
8943,8943,1040 US Highway 1 N,Fast Food Restaurants,Woodbridge,US,40.555973,-74.28454,Chick-fil-A,7095,NJ,"http://chick-fil-a.com/stgeorgesave,http://www.chick-fil-a.com,http://www.chick-fil-a.com/stgeorgesave"
8944,8944,1545 Richmond Rd,Fast Food Restaurant,Williamsburg,US,37.292,-76.7233,KFC,23185,VA,http://www.kfc.com
8960,8960,4850 SH 6,Fast Food Restaurant,Missouri City,US,29.5779674,-95.58018364,Popeyes,77459-3990,TX,http://popeyes.com
8981,8981,8026 39th Ave,Fast Food Restaurant,Kenosha,US,42.55812684,-87.85542868,KFC,53142,WI,"http://kfc.com,http://www.kfc.com"
8996,8996,1005 Goodman Rd W,Fast Food Restaurant,Horn Lake,US,34.96262,-90.00394399999999,KFC,38637,MS,http://www.kfc.com
9025,9025,6495 Glenway Ave,Fast Food Restaurant,Cincinnati,US,39.15262,-84.62841999999999,Chick-fil-A,45211,OH,"http://www.chick-fil-a.com/westernhills,http://www.chick-fil-a.com"
9031,9031,27901 Lorain Rd,Fast Food Restaurants,North Olmsted,US,41.4113,-81.9312,KFC,44070,OH,http://www.kfc.com
9035,9035,700 S El Camino Real,Fast Food,San Clemente,US,33.423606,-117.609885,KFC,92672,CA,"http://www.kfc.com/,http://www.kfc.com"
9052,9052,428 Ridge Rd,Fast Food Restaurants,Munster,US,41.562,-87.5174,KFC,46321,IN,"http://kfc.com,http://www.kfc.com"
9064,9064,1691 E Market St,Fast Food Restaurant,Harrisonburg,US,38.43303,-78.84609,Chick-fil-A,22801,VA,"http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuGnmwGnHDpEGYXGjnN4u8zXqkiimSHFf4_dbqGRbVgNJOuIQgLUrHfNzZkH86ADnd0evxw2BCuE-kds5G_Nhq-rcs2y39kdac1daiUSGSLYr9sq9ZuGgl8pl_Q9gG9oFKJQYTR5Er4sy9Lbutxk9ZrPaMxaTq6MoGecnzAm612o-UACKyRITZe83N-U17L06hdC0xy9Bqz4IpfXchsWmm9VuWhFtY3sHJ-s_N4EP1XB6T8PITbXAi3xcNHLrp8wTgsaj8Y3X1UQd2N4ylb5sL-1w1A6TB2-FNU91sr7reaZivxO69g_9rWdmYgyZUzNjpQV1SP-9gddQopvDU2MGuaDk2yTp3RA33E5WkTr6xxlFatt54j9TDoFtQj-fm4lMwOVditZPgMFB&placement=listing_profile&cs_user=unknown&cs_session=64085e840b4e2da958b7be3176cdbe5090d6bc4f,http://www.chick-fil-a.com,http://www.chick-fil-a.com/harrisonburg"
9067,9067,102 Airport Rd,Fast Food Restaurant,Shawano,US,44.7822,-88.5679,KFC,54166,WI,"http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuGnmwGnHDpEGYXGjnN4u8zXqkiimSHFf4_dbqGRbVgNJHbB5EM5Hc7d--QYpKtxaraRZd8iSx7cnEvpTsTccoe-ViQIlQTuxeRJ5Sob3UDzJvVyKIjCIhlH5itCxY3JLJ5FF3hNktjUn6U-NI3haC1Lteh9H6BF4MQoC7IPuNIOUm3vXILyOYUEQONgk0rUWcO_kq0lM27eFZ0cvum7NXbcNwaxfLrxSEP1ojK0iaGKeV39nt2C59Lrg4YW9k7N9FWH0mfhjDl2dWaFd0kWE8cBjBuQK-fywr3qW_SBq6hoAEfFkX3JKWqeOq5kkA3HpQIqfKjk7DSJxI5UrzoYQ4ostTggH0Ov1tMVSjj7b0y4_6JwbFbec_o5YeD_7bomSzw&placement=listing_profile&cs_user=unknown&cs_session=e0e787025993a1fd45f53b03f2feecb3b166db68,http://www.kfc.com"
9103,9103,1616 Big Timber Rd,Fast Food Restaurant,Elgin,US,42.05867763,-88.31790665,Popeyes,60123,IL,http://www.popeyes.com
9122,9122,1833 S 4th St,Fast Food Restaurant,Allentown,US,40.581753000000006,-75.456825,KFC,18103,PA,"http://kfc.com,http://www.kfc.com"
9123,9123,3212 Douglas Ave,Fast Food Restaurant,Racine,US,42.7588,-87.8015,KFC,53402,WI,"http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuGnmwGnHDpEGYXGjnN4u8zXqkiimSHFf4_dbqGRbVgNJiU8XiYZyJDwLMAoVimvYYACSnDB-ctCcU_yaWO1--nNyauRHtsDz6tPvYOW1BeyxwDN3K_K3fzPfoU9fLnuMNHcPH4wTUOq4z5b7hud67MrNYuMABEGzakL76dKoEktYquT05zEHGUkVYVE6HipjDySlcEWxSWZsCUM4PPiLskwTE8OB7EK5-YZcVtygb2iDa7V85BoEWB70ilQ44DWuAy-Rk8yk8CBXT_QBjG8kvmwALGKcrIRxa1bjaAy8z4F6tQO56C59mvXM0X65dnJVemcuMJyGZQT3ORHmSb_GQU_nqAFzoNjL4FXbDa3xMxY6WMrD5krF2GbKr7hOoITUXg&placement=listing_profile&cs_user=unknown&cs_session=eb3616e94631571be29f6975a8595e5c1903d19d,http://www.kfc.com"
9140,9140,2300 N Salisbury Blvd Ste G115,Fast Food Restaurant,Salisbury,US,38.40015,-75.57026,Chick-fil-A,21801,MD,"http://www.chick-fil-a.com/centreatsalisbury,http://www.chick-fil-a.com"
9159,9159,40 Princeton Hightstown Rd,Fast Food Restaurants,Hightstown,US,40.27467587,-74.5404017,KFC,8520,NJ,http://www.kfc.com
9163,9163,1055 US Highway 1,Fast Food Restaurant,North Brunswick,US,40.4583,-74.4718,KFC,8902,NJ,http://www.kfc.com
9166,9166,805 Dawsonville Hwy,Fast Food Restaurant,Gainesville,US,34.29675,-83.85576999999999,Chick-fil-A,30501,GA,"http://www.chick-fil-a.com/gainesville,http://www.chick-fil-a.com"
9177,9177,675 Georgia Highway 120,Fast Food Restaurant,Lawrenceville,US,33.966322999999996,-84.009788,KFC,30045,GA,http://www.kfc.com
9190,9190,1614 S Stratford,Fast Food,Winston-Salem,US,36.070033,-80.304635,Bojangles,27104,NC,"http://locations.bojangles.com/nc/winston-salem/1614-s-stratford.html,http://www.bojangles.com"
